lic_ticker,lic_name,year,expense,expense_category,expense_amount,lic_id
MFF,MFF Capital Investments Limited,2021,Non-Executive Director's fees,Other Expenses,388000,
MFF,MFF Capital Investments Limited,2021,Long service leave statutory expense,Other Expenses,24000,
MFF,MFF Capital Investments Limited,2021,Brokerage,Transaction Costs (Brokerage),125000,
MFF,MFF Capital Investments Limited,2021,Registry fees,Other Expenses,226000,
MFF,MFF Capital Investments Limited,2021,"ASX listing, clearing and settlement fees",Other Expenses,206000,
MFF,MFF Capital Investments Limited,2021,Fund administration and operational costs,Other Expenses,92000,
MFF,MFF Capital Investments Limited,2021,Auditor's remuneration,Other Expenses,69000,
MFF,MFF Capital Investments Limited,2021,Regulatory levy,Other Expenses,51000,
MFF,MFF Capital Investments Limited,2021,Legal and professional fees,Other Expenses,0,
MFF,MFF Capital Investments Limited,2021,Employment related taxes,Other Expenses,84000,
MFF,MFF Capital Investments Limited,2021,Other expenses,Other Expenses,113000,
MFF,MFF Capital Investments Limited,2022,Research and service fees,Other Expenses,4001000,
MFF,MFF Capital Investments Limited,2022,Managing Director's salary,Other Expenses,1500000,
MFF,MFF Capital Investments Limited,2022,Non-Executive Director's fees,Other Expenses,318000,
MFF,MFF Capital Investments Limited,2022,Long service leave statutory expense,Other Expenses,25000,
MFF,MFF Capital Investments Limited,2022,Transaction costs,Transaction Costs (Brokerage),379000,
MFF,MFF Capital Investments Limited,2022,Registry fees,Other Expenses,210000,
MFF,MFF Capital Investments Limited,2022,"ASX listing, clearing and settlement fees",Other Expenses,173000,
MFF,MFF Capital Investments Limited,2022,Fund administration and operational costs,Other Expenses,95000,
MFF,MFF Capital Investments Limited,2022,Auditor's remuneration,Other Expenses,84000,
MFF,MFF Capital Investments Limited,2022,Regulatory levy,Other Expenses,51000,
MFF,MFF Capital Investments Limited,2022,Legal and professional fees,Other Expenses,0,
MFF,MFF Capital Investments Limited,2022,Employment related taxes,Other Expenses,86000,
MFF,MFF Capital Investments Limited,2022,Other expenses,Other Expenses,112000,
MFF,MFF Capital Investments Limited,2023,Research and service fees,Other Expenses,2600000,
MFF,MFF Capital Investments Limited,2023,Managing Director's salary,Other Expenses,1500000,
MFF,MFF Capital Investments Limited,2023,Non-Executive Director's fees,Other Expenses,300000,
MFF,MFF Capital Investments Limited,2023,Long service leave statutory expense,Other Expenses,24000,
MFF,MFF Capital Investments Limited,2023,Transaction costs,Transaction Costs (Brokerage),129000,
MFF,MFF Capital Investments Limited,2023,Registry fees,Other Expenses,175000,
MFF,MFF Capital Investments Limited,2023,"ASX listing, clearing and settlement fees",Other Expenses,192000,
MFF,MFF Capital Investments Limited,2023,Fund administration and operational costs,Other Expenses,99000,
MFF,MFF Capital Investments Limited,2023,Auditor's remuneration,Other Expenses,74000,
MFF,MFF Capital Investments Limited,2023,Regulatory levy,Other Expenses,56000,
MFF,MFF Capital Investments Limited,2023,Legal and professional fees,Other Expenses,0,
MFF,MFF Capital Investments Limited,2023,Employment related taxes,Other Expenses,96000,
MFF,MFF Capital Investments Limited,2023,Withholding tax not recoverable,Other Expenses,199000,
MFF,MFF Capital Investments Limited,2023,Other expenses,Other Expenses,191000,
BKI,BKI Investment Company Limited,2014,Administration expenses,Other Expenses,371000,
BKI,BKI Investment Company Limited,2014,Occupancy costs,Other Expenses,11000,
BKI,BKI Investment Company Limited,2014,Employment expenses,Other Expenses,707000,
BKI,BKI Investment Company Limited,2014,Professional fees,Other Expenses,156000,
BKI,BKI Investment Company Limited,2014,Depreciation,Other Expenses,3000,
BKI,BKI Investment Company Limited,2015,Administration expenses,Other Expenses,352000,
BKI,BKI Investment Company Limited,2015,Occupancy costs,Other Expenses,13000,
BKI,BKI Investment Company Limited,2015,Employment expenses,Other Expenses,1075000,
BKI,BKI Investment Company Limited,2015,Professional fees,Other Expenses,160000,
BKI,BKI Investment Company Limited,2015,Depreciation,Other Expenses,7000,
BKI,BKI Investment Company Limited,2016,Administration expenses,Other Expenses,376000,
BKI,BKI Investment Company Limited,2016,Occupancy expenses,Other Expenses,13000,
BKI,BKI Investment Company Limited,2016,Employment expenses,Other Expenses,930000,
BKI,BKI Investment Company Limited,2016,Professional fees,Other Expenses,153000,
BKI,BKI Investment Company Limited,2016,Depreciation,Other Expenses,7000,
BKI,BKI Investment Company Limited,2017,Administration expenses,Other Expenses,385000,
BKI,BKI Investment Company Limited,2017,Occupancy expenses,Other Expenses,4000,
BKI,BKI Investment Company Limited,2017,Employment expenses,Other Expenses,251000,
BKI,BKI Investment Company Limited,2017,Investment Management,External Management Fees,669000,
BKI,BKI Investment Company Limited,2017,Professional fees,Other Expenses,190000,
BKI,BKI Investment Company Limited,2017,Depreciation,Other Expenses,7000,
BKI,BKI Investment Company Limited,2018,Administration expenses,Other Expenses,366000,
BKI,BKI Investment Company Limited,2018,Occupancy expenses,Other Expenses,0,
BKI,BKI Investment Company Limited,2018,Employment expenses,Other Expenses,254000,
BKI,BKI Investment Company Limited,2018,Investment Management,External Management Fees,1038000,
BKI,BKI Investment Company Limited,2018,Professional fees,Other Expenses,160000,
BKI,BKI Investment Company Limited,2018,Depreciation,Other Expenses,0,
BKI,BKI Investment Company Limited,2019,Administration expenses,Other Expenses,459000,
BKI,BKI Investment Company Limited,2019,Employment expenses,Other Expenses,235000,
BKI,BKI Investment Company Limited,2019,Investment Management,External Management Fees,1194000,
BKI,BKI Investment Company Limited,2019,Professional fees,Other Expenses,159000,
BKI,BKI Investment Company Limited,2020,Administration expenses,Other Expenses,454000,
BKI,BKI Investment Company Limited,2020,Employment expenses,Other Expenses,232000,
BKI,BKI Investment Company Limited,2020,Investment Management,External Management Fees,1188000,
BKI,BKI Investment Company Limited,2020,Professional fees,Other Expenses,160000,
BKI,BKI Investment Company Limited,2021,Administration expenses,Other Expenses,414000,
BKI,BKI Investment Company Limited,2021,Employment expenses,Other Expenses,239000,
BKI,BKI Investment Company Limited,2021,Investment Management,External Management Fees,1167000,
BKI,BKI Investment Company Limited,2021,Professional fees,Other Expenses,159000,
BKI,BKI Investment Company Limited,2022,Administration expenses,Other Expenses,463000,
BKI,BKI Investment Company Limited,2022,Employment expenses,Other Expenses,175000,
BKI,BKI Investment Company Limited,2022,Investment Management,External Management Fees,1320000,
BKI,BKI Investment Company Limited,2022,Professional fees,Other Expenses,181000,
BKI,BKI Investment Company Limited,2023,Administration expenses,Other Expenses,531000,
BKI,BKI Investment Company Limited,2023,Employment expenses,Other Expenses,326000,
BKI,BKI Investment Company Limited,2023,Investment Management,External Management Fees,1354000,
BKI,BKI Investment Company Limited,2023,Professional fees,Other Expenses,205000,
AUI,Australian United Investment Company Limited,2014,Administration and other expenses,Other Expenses,1044712,
AUI,Australian United Investment Company Limited,2015,Administration and other expenses,Other Expenses,1085839,
AUI,Australian United Investment Company Limited,2016,Administration and other expenses,Other Expenses,1099643,
AUI,Australian United Investment Company Limited,2017,Administration and other expenses,Other Expenses,1110018,
AUI,Australian United Investment Company Limited,2018,Administration and other expenses,Other Expenses,1155585,
AUI,Australian United Investment Company Limited,2019,Administration and other expenses,Other Expenses,1273000,
AUI,Australian United Investment Company Limited,2020,Administration and other expenses,Other Expenses,1678000,
AUI,Australian United Investment Company Limited,2020,Administration costs recovered,Other Expenses,-262000,
AUI,Australian United Investment Company Limited,2021,Administration and other expenses,Other Expenses,1681000,
AUI,Australian United Investment Company Limited,2021,Administration costs recovered,Other Expenses,-283000,
AUI,Australian United Investment Company Limited,2022,Administration and other expenses,Other Expenses,1705000,
AUI,Australian United Investment Company Limited,2022,Administration costs recovered,Other Expenses,-281000,
AUI,Australian United Investment Company Limited,2023,Administration and other expenses,Other Expenses,1779000,
AUI,Australian United Investment Company Limited,2023,Administration costs recovered,Other Expenses,-289000,
DUI,Diversified United Investment Limited,2014,Administration and other expenses,Other Expenses,984000,
DUI,Diversified United Investment Limited,2015,Administration and other expenses,Other Expenses,1033000,
DUI,Diversified United Investment Limited,2016,Administration and other expenses,Other Expenses,1070000,
DUI,Diversified United Investment Limited,2017,Administration and other expenses,Other Expenses,1085000,
DUI,Diversified United Investment Limited,2018,Administration and other expenses,Other Expenses,1143000,
DUI,Diversified United Investment Limited,2019,Administration and other expenses,Other Expenses,1256000,
DUI,Diversified United Investment Limited,2020,Administration and other expenses,Other Expenses,1377000,
DUI,Diversified United Investment Limited,2021,Administration and other expenses,Other Expenses,1440000,
DUI,Diversified United Investment Limited,2022,Administration and other expenses,Other Expenses,1468000,
DUI,Diversified United Investment Limited,2023,Administration and other expenses,Other Expenses,1588000,
CIN,Carlton Investments Limited,2014,Director's fees and employee remuneration,Other Expenses,389000,
CIN,Carlton Investments Limited,2014,Auditor's remuneration,Other Expenses,72000,
CIN,Carlton Investments Limited,2014,Rent and office service charges,Other Expenses,24000,
CIN,Carlton Investments Limited,2014,Other administration costs,Other Expenses,173000,
CIN,Carlton Investments Limited,2015,Director's fees and employee remuneration,Other Expenses,479000,
CIN,Carlton Investments Limited,2015,Auditor's remuneration,Other Expenses,77000,
CIN,Carlton Investments Limited,2015,Rent and office service charges,Other Expenses,24000,
CIN,Carlton Investments Limited,2015,Other administration costs,Other Expenses,178000,
CIN,Carlton Investments Limited,2016,Director's fees and employee remuneration,Other Expenses,459000,
CIN,Carlton Investments Limited,2016,Auditor's remuneration,Other Expenses,69000,
CIN,Carlton Investments Limited,2016,Rent and office service charges,Other Expenses,21000,
CIN,Carlton Investments Limited,2016,Other administration costs,Other Expenses,184000,
CIN,Carlton Investments Limited,2017,Director's fees and employee remuneration,Other Expenses,487000,
CIN,Carlton Investments Limited,2017,Auditor's remuneration,Other Expenses,71000,
CIN,Carlton Investments Limited,2017,Rent and office service charges,Other Expenses,21000,
CIN,Carlton Investments Limited,2017,Other administration costs,Other Expenses,190000,
CIN,Carlton Investments Limited,2018,Director's fees and employee remuneration,Other Expenses,525000,
CIN,Carlton Investments Limited,2018,Auditor's remuneration,Other Expenses,82000,
CIN,Carlton Investments Limited,2018,Rent and office service charges,Other Expenses,21000,
CIN,Carlton Investments Limited,2018,Other administration costs,Other Expenses,207000,
CIN,Carlton Investments Limited,2019,Director's fees and employee remuneration,Other Expenses,540000,
CIN,Carlton Investments Limited,2019,Auditor's remuneration,Other Expenses,72000,
CIN,Carlton Investments Limited,2019,Rent and office service charges,Other Expenses,23000,
CIN,Carlton Investments Limited,2019,Other administration costs,Other Expenses,235000,
CIN,Carlton Investments Limited,2020,Director's fees and employee remuneration,Other Expenses,558000,
CIN,Carlton Investments Limited,2020,Auditor's remuneration,Other Expenses,94000,
CIN,Carlton Investments Limited,2020,Rent and office service charges,Other Expenses,22000,
CIN,Carlton Investments Limited,2020,Other administration costs,Other Expenses,242000,
CIN,Carlton Investments Limited,2021,Director's fees and employee remuneration,Other Expenses,551000,
CIN,Carlton Investments Limited,2021,Auditor's remuneration,Other Expenses,77000,
CIN,Carlton Investments Limited,2021,Rent and office service charges,Other Expenses,24000,
CIN,Carlton Investments Limited,2021,Other administration costs,Other Expenses,218000,
CIN,Carlton Investments Limited,2022,Director's fees and employee remuneration,Other Expenses,575000,
CIN,Carlton Investments Limited,2022,Auditor's remuneration,Other Expenses,78000,
CIN,Carlton Investments Limited,2022,Rent and office service charges,Other Expenses,23000,
CIN,Carlton Investments Limited,2022,Other administration costs,Other Expenses,222000,
CIN,Carlton Investments Limited,2023,Director's fees and employee remuneration,Other Expenses,651000,
CIN,Carlton Investments Limited,2023,Auditor's remuneration,Other Expenses,82000,
CIN,Carlton Investments Limited,2023,Rent and office service charges,Other Expenses,26000,
CIN,Carlton Investments Limited,2023,Other administration costs,Other Expenses,211000,
PL8,Plato Income Maximiser Limited,2018,Management fees,External Management Fees,2549000,
PL8,Plato Income Maximiser Limited,2018,ASX and share registry fees,Other Expenses,238000,
PL8,Plato Income Maximiser Limited,2018,Professional fees,Other Expenses,57000,
PL8,Plato Income Maximiser Limited,2018,Director fees,Other Expenses,100000,
PL8,Plato Income Maximiser Limited,2018,Other expenses,Other Expenses,164000,
PL8,Plato Income Maximiser Limited,2019,Management fees,External Management Fees,2578000,
PL8,Plato Income Maximiser Limited,2019,ASX and share registry fees,Other Expenses,278000,
PL8,Plato Income Maximiser Limited,2019,Professional fees,Other Expenses,61000,
PL8,Plato Income Maximiser Limited,2019,Director fees,Other Expenses,100000,
PL8,Plato Income Maximiser Limited,2019,Other expenses,Other Expenses,171000,
PL8,Plato Income Maximiser Limited,2020,Management fees,External Management Fees,3404000,
PL8,Plato Income Maximiser Limited,2020,ASX and share registry fees,Other Expenses,333000,
PL8,Plato Income Maximiser Limited,2020,Professional fees,Other Expenses,69000,
PL8,Plato Income Maximiser Limited,2020,Director fees,Other Expenses,115000,
PL8,Plato Income Maximiser Limited,2020,Other expenses,Other Expenses,193000,
PL8,Plato Income Maximiser Limited,2021,Management fees,External Management Fees,3647000,
PL8,Plato Income Maximiser Limited,2021,ASX and share registry fees,Other Expenses,253000,
PL8,Plato Income Maximiser Limited,2021,Professional fees,Other Expenses,62000,
PL8,Plato Income Maximiser Limited,2021,Director fees,Other Expenses,115000,
PL8,Plato Income Maximiser Limited,2021,Other expenses,Other Expenses,199000,
PL8,Plato Income Maximiser Limited,2022,Management fees,External Management Fees,4581000,
PL8,Plato Income Maximiser Limited,2022,ASX and share registry fees,Other Expenses,290000,
PL8,Plato Income Maximiser Limited,2022,Professional fees,Other Expenses,72000,
PL8,Plato Income Maximiser Limited,2022,Director fees,Other Expenses,115000,
PL8,Plato Income Maximiser Limited,2022,Other expenses,Other Expenses,196000,
PL8,Plato Income Maximiser Limited,2023,Management fees,External Management Fees,5129000,
PL8,Plato Income Maximiser Limited,2023,ASX and share registry fees,Other Expenses,310000,
PL8,Plato Income Maximiser Limited,2023,Professional fees,Other Expenses,76000,
PL8,Plato Income Maximiser Limited,2023,Director fees,Other Expenses,130000,
PL8,Plato Income Maximiser Limited,2023,Other expenses,Other Expenses,193000,
DJW,Djerriwarrh Investments Limited,2014,Administration fees paid to AICS,Other Expenses,2234000,
DJW,Djerriwarrh Investments Limited,2014,Other administration expenses,Other Expenses,1420000,
DJW,Djerriwarrh Investments Limited,2014,Share of net profit from Associate,Other Expenses,-114000,
DJW,Djerriwarrh Investments Limited,2015,Administration fees paid to AICS,Other Expenses,2274000,
DJW,Djerriwarrh Investments Limited,2015,Other administration expenses,Other Expenses,1534000,
DJW,Djerriwarrh Investments Limited,2015,Share of net profit from Associate,Other Expenses,-145000,
DJW,Djerriwarrh Investments Limited,2016,Administration fees paid to AICS,Other Expenses,2412000,
DJW,Djerriwarrh Investments Limited,2016,Other administration expenses,Other Expenses,1482000,
DJW,Djerriwarrh Investments Limited,2016,Share of net profit from AICS as an associate,Other Expenses,-262000,
DJW,Djerriwarrh Investments Limited,2017,Administration fees paid to AICS,Other Expenses,2437000,
DJW,Djerriwarrh Investments Limited,2017,Other administration expenses,Other Expenses,1538000,
DJW,Djerriwarrh Investments Limited,2017,Share of net profit from AICS as an associate,Other Expenses,-389000,
DJW,Djerriwarrh Investments Limited,2018,Administration fees paid to AICS,Other Expenses,2450000,
DJW,Djerriwarrh Investments Limited,2018,Other administration expenses,Other Expenses,1472000,
DJW,Djerriwarrh Investments Limited,2018,Share of net profit from AICS as an associate,Other Expenses,-428000,
DJW,Djerriwarrh Investments Limited,2019,Administration fees paid to AICS,Other Expenses,2515000,
DJW,Djerriwarrh Investments Limited,2019,Other administration expenses,Other Expenses,1427000,
DJW,Djerriwarrh Investments Limited,2019,Share of net profit from AICS as an associate,Other Expenses,-633000,
DJW,Djerriwarrh Investments Limited,2020,Administration fees paid to AICS,Other Expenses,2634000,
DJW,Djerriwarrh Investments Limited,2020,Other administration expenses,Other Expenses,1480000,
DJW,Djerriwarrh Investments Limited,2020,Share of net profit from AICS as an associate,Other Expenses,-664000,
DJW,Djerriwarrh Investments Limited,2021,Administration fees paid to AICS,Other Expenses,2528000,
DJW,Djerriwarrh Investments Limited,2021,Other administration expenses,Other Expenses,1428000,
DJW,Djerriwarrh Investments Limited,2021,Share of net profit from AICS as an associate,Other Expenses,-636000,
DJW,Djerriwarrh Investments Limited,2022,Administration fees paid to AICS,Other Expenses,2262000,
DJW,Djerriwarrh Investments Limited,2022,Other administration expenses,Other Expenses,1576000,
DJW,Djerriwarrh Investments Limited,2022,Share of net profit from AICS as an associate,Other Expenses,-30000,
DJW,Djerriwarrh Investments Limited,2023,Administration fees paid to AICS,Other Expenses,2442000,
DJW,Djerriwarrh Investments Limited,2023,Other administration expenses,Other Expenses,1653000,
DJW,Djerriwarrh Investments Limited,2023,Share of net profit from AICS as an associate,Other Expenses,-642000,
PGF,PM Capital Global Opportunities Fund Limited,2015,Management fees,External Management Fees,2163880,
PGF,PM Capital Global Opportunities Fund Limited,2015,Performance fees,External Performance Fees,2794294,
PGF,PM Capital Global Opportunities Fund Limited,2015,Other operating expenses,Other Expenses,531505,
PGF,PM Capital Global Opportunities Fund Limited,2016,Management fees,External Management Fees,3905790,
PGF,PM Capital Global Opportunities Fund Limited,2016,Performance fees,External Performance Fees,0,
PGF,PM Capital Global Opportunities Fund Limited,2016,Audit fees,Other Expenses,49005,
PGF,PM Capital Global Opportunities Fund Limited,2016,Director fees,Other Expenses,110000,
PGF,PM Capital Global Opportunities Fund Limited,2016,Insurance,Other Expenses,52358,
PGF,PM Capital Global Opportunities Fund Limited,2016,Brokerage fees,Transaction Costs (Brokerage),480596,
PGF,PM Capital Global Opportunities Fund Limited,2016,Other operating expenses,Other Expenses,356650,
PGF,PM Capital Global Opportunities Fund Limited,2017,Management fees,External Management Fees,3833738,
PGF,PM Capital Global Opportunities Fund Limited,2017,Performance fees,External Performance Fees,1482051,
PGF,PM Capital Global Opportunities Fund Limited,2017,Audit fees,Other Expenses,39930,
PGF,PM Capital Global Opportunities Fund Limited,2017,Director fees,Other Expenses,101250,
PGF,PM Capital Global Opportunities Fund Limited,2017,Insurance,Other Expenses,60014,
PGF,PM Capital Global Opportunities Fund Limited,2017,Brokerage fees,Transaction Costs (Brokerage),331224,
PGF,PM Capital Global Opportunities Fund Limited,2017,Other operating expenses,Other Expenses,341481,
PGF,PM Capital Global Opportunities Fund Limited,2018,Management fees,External Management Fees,4603298,
PGF,PM Capital Global Opportunities Fund Limited,2018,Performance fees,External Performance Fees,1017682,
PGF,PM Capital Global Opportunities Fund Limited,2018,Audit fees,Other Expenses,42445,
PGF,PM Capital Global Opportunities Fund Limited,2018,Director fees,Other Expenses,75000,
PGF,PM Capital Global Opportunities Fund Limited,2018,Insurance,Other Expenses,60039,
PGF,PM Capital Global Opportunities Fund Limited,2018,Brokerage fees,Transaction Costs (Brokerage),348529,
PGF,PM Capital Global Opportunities Fund Limited,2018,Other operating expenses,Other Expenses,427538,
PGF,PM Capital Global Opportunities Fund Limited,2019,Management fees,External Management Fees,4606517,
PGF,PM Capital Global Opportunities Fund Limited,2019,Performance fees,External Performance Fees,0,
PGF,PM Capital Global Opportunities Fund Limited,2019,Brokerage fees,Transaction Costs (Brokerage),426421,
PGF,PM Capital Global Opportunities Fund Limited,2019,Registry fees,Other Expenses,144597,
PGF,PM Capital Global Opportunities Fund Limited,2019,Professional fees,Other Expenses,123197,
PGF,PM Capital Global Opportunities Fund Limited,2019,Foreign tax compliance fees,Other Expenses,120000,
PGF,PM Capital Global Opportunities Fund Limited,2019,ASX fees,Other Expenses,113103,
PGF,PM Capital Global Opportunities Fund Limited,2019,Insurance,Other Expenses,77690,
PGF,PM Capital Global Opportunities Fund Limited,2019,Audit fees,Other Expenses,42794,
PGF,PM Capital Global Opportunities Fund Limited,2019,Directors' fees,Other Expenses,75000,
PGF,PM Capital Global Opportunities Fund Limited,2019,Other operating expenses,Other Expenses,94395,
PGF,PM Capital Global Opportunities Fund Limited,2020,Management fees,External Management Fees,4584748,
PGF,PM Capital Global Opportunities Fund Limited,2020,Brokerage fees,Transaction Costs (Brokerage),529764,
PGF,PM Capital Global Opportunities Fund Limited,2020,Registry fees,Other Expenses,129094,
PGF,PM Capital Global Opportunities Fund Limited,2020,Professional fees,Other Expenses,124487,
PGF,PM Capital Global Opportunities Fund Limited,2020,Foreign tax compliance fees,Other Expenses,41988,
PGF,PM Capital Global Opportunities Fund Limited,2020,ASX fees,Other Expenses,96573,
PGF,PM Capital Global Opportunities Fund Limited,2020,Insurance,Other Expenses,103064,
PGF,PM Capital Global Opportunities Fund Limited,2020,Audit fees,Other Expenses,45892,
PGF,PM Capital Global Opportunities Fund Limited,2020,Directors' fees,Other Expenses,80720,
PGF,PM Capital Global Opportunities Fund Limited,2020,Other operating expenses,Other Expenses,201073,
PGF,PM Capital Global Opportunities Fund Limited,2021,Management fees,External Management Fees,5053380,
PGF,PM Capital Global Opportunities Fund Limited,2021,Performance fees,External Performance Fees,3643463,
PGF,PM Capital Global Opportunities Fund Limited,2021,Brokerage and trading fees,Transaction Costs (Brokerage),528819,
PGF,PM Capital Global Opportunities Fund Limited,2021,Registry fees,Other Expenses,177234,
PGF,PM Capital Global Opportunities Fund Limited,2021,Insurance,Other Expenses,149317,
PGF,PM Capital Global Opportunities Fund Limited,2021,Administration fees,Other Expenses,127713,
PGF,PM Capital Global Opportunities Fund Limited,2021,ASX fees,Other Expenses,105298,
PGF,PM Capital Global Opportunities Fund Limited,2021,Legal and professional fees,Other Expenses,83728,
PGF,PM Capital Global Opportunities Fund Limited,2021,Directors' fees,Other Expenses,75000,
PGF,PM Capital Global Opportunities Fund Limited,2021,Audit fees,Other Expenses,45100,
PGF,PM Capital Global Opportunities Fund Limited,2021,Other operating expenses,Other Expenses,90222,
PGF,PM Capital Global Opportunities Fund Limited,2022,Management fees,External Management Fees,6575025,
PGF,PM Capital Global Opportunities Fund Limited,2022,Performance fees,External Performance Fees,10031221,
PGF,PM Capital Global Opportunities Fund Limited,2022,Brokerage and trading fees,Transaction Costs (Brokerage),637150,
PGF,PM Capital Global Opportunities Fund Limited,2022,Registry fees,Other Expenses,179831,
PGF,PM Capital Global Opportunities Fund Limited,2022,Insurance,Other Expenses,175126,
PGF,PM Capital Global Opportunities Fund Limited,2022,Administration fees,Other Expenses,168163,
PGF,PM Capital Global Opportunities Fund Limited,2022,ASX fees,Other Expenses,165112,
PGF,PM Capital Global Opportunities Fund Limited,2022,Legal and professional fees (net of break fee),Other Expenses,47161,
PGF,PM Capital Global Opportunities Fund Limited,2022,Directors' fees,Other Expenses,89444,
PGF,PM Capital Global Opportunities Fund Limited,2022,Audit fees,Other Expenses,46500,
PGF,PM Capital Global Opportunities Fund Limited,2022,Other operating expenses,Other Expenses,25831,
PGF,PM Capital Global Opportunities Fund Limited,2023,Management fees,External Management Fees,6916064,
PGF,PM Capital Global Opportunities Fund Limited,2023,Performance fees,External Performance Fees,10947434,
PGF,PM Capital Global Opportunities Fund Limited,2023,Brokerage and trading fees,Transaction Costs (Brokerage),609411,
PGF,PM Capital Global Opportunities Fund Limited,2023,Registry fees,Other Expenses,241079,
PGF,PM Capital Global Opportunities Fund Limited,2023,Insurance,Other Expenses,180988,
PGF,PM Capital Global Opportunities Fund Limited,2023,Administration fees,Other Expenses,173639,
PGF,PM Capital Global Opportunities Fund Limited,2023,ASX fees,Other Expenses,171782,
PGF,PM Capital Global Opportunities Fund Limited,2023,Legal and professional fees (net of break fee),Other Expenses,68222,
PGF,PM Capital Global Opportunities Fund Limited,2023,Directors' fees,Other Expenses,126625,
PGF,PM Capital Global Opportunities Fund Limited,2023,Audit fees,Other Expenses,49302,
PGF,PM Capital Global Opportunities Fund Limited,2023,Other operating expenses,Other Expenses,3479,
WGB,WAM Global Limited,2019,Management fees,External Management Fees,6052929,
WGB,WAM Global Limited,2019,Directors fees,Other Expenses,81973,
WGB,WAM Global Limited,2019,Brokerage expense on share purchases,Transaction Costs (Brokerage),961540,
WGB,WAM Global Limited,2019,Custody fees,Other Expenses,39693,
WGB,WAM Global Limited,2019,ASX listing and chess fees,Other Expenses,138197,
WGB,WAM Global Limited,2019,Share registry fees,Other Expenses,156567,
WGB,WAM Global Limited,2019,"Disbursements, mailing and printing",Other Expenses,24508,
WGB,WAM Global Limited,2019,ASIC industry funding levy,Other Expenses,20883,
WGB,WAM Global Limited,2019,Audit fees,Other Expenses,49623,
WGB,WAM Global Limited,2019,Accounting fees,Other Expenses,47339,
WGB,WAM Global Limited,2019,Company secretary fees,Other Expenses,16907,
WGB,WAM Global Limited,2019,Other expenses from ordinary activities,Other Expenses,179138,
WGB,WAM Global Limited,2020,Management fees,External Management Fees,6470878,
WGB,WAM Global Limited,2020,Directors fees,Other Expenses,80000,
WGB,WAM Global Limited,2020,Brokerage expense on share purchases,Transaction Costs (Brokerage),558241,
WGB,WAM Global Limited,2020,Custody fees,Other Expenses,45877,
WGB,WAM Global Limited,2020,ASX listing and chess fees,Other Expenses,113181,
WGB,WAM Global Limited,2020,Share registry fees,Other Expenses,130327,
WGB,WAM Global Limited,2020,"Disbursements, mailing and printing",Other Expenses,105378,
WGB,WAM Global Limited,2020,ASIC industry funding levy,Other Expenses,20499,
WGB,WAM Global Limited,2020,Audit fees,Other Expenses,56707,
WGB,WAM Global Limited,2020,Accounting fees,Other Expenses,46200,
WGB,WAM Global Limited,2020,Company secretary fees,Other Expenses,16500,
WGB,WAM Global Limited,2020,Other expenses from ordinary activities,Other Expenses,190533,
WGB,WAM Global Limited,2021,Management fees,External Management Fees,7088362,
WGB,WAM Global Limited,2021,Directors fees,Other Expenses,80000,
WGB,WAM Global Limited,2021,Brokerage expense on share purchases,Transaction Costs (Brokerage),562630,
WGB,WAM Global Limited,2021,Custody fees,Other Expenses,42849,
WGB,WAM Global Limited,2021,ASX listing and chess fees,Other Expenses,155088,
WGB,WAM Global Limited,2021,Share registry fees,Other Expenses,147924,
WGB,WAM Global Limited,2021,"Disbursements, mailing and printing",Other Expenses,72575,
WGB,WAM Global Limited,2021,ASIC industry funding levy,Other Expenses,15927,
WGB,WAM Global Limited,2021,Audit fees,Other Expenses,15927,
WGB,WAM Global Limited,2021,Accounting fees,Other Expenses,89453,
WGB,WAM Global Limited,2021,Company secretary fees,Other Expenses,16500,
WGB,WAM Global Limited,2021,Other expenses from ordinary activities,Other Expenses,248885,
WGB,WAM Global Limited,2022,Management fees,External Management Fees,10451119,
WGB,WAM Global Limited,2022,Directors fees,Other Expenses,80000,
WGB,WAM Global Limited,2022,Brokerage expense on share purchases,Transaction Costs (Brokerage),353651,
WGB,WAM Global Limited,2022,Custody fees,Other Expenses,72475,
WGB,WAM Global Limited,2022,ASX listing and chess fees,Other Expenses,154183,
WGB,WAM Global Limited,2022,Share registry fees,Other Expenses,177062,
WGB,WAM Global Limited,2022,"Disbursements, mailing and printing",Other Expenses,130860,
WGB,WAM Global Limited,2022,ASIC industry funding levy,Other Expenses,23188,
WGB,WAM Global Limited,2022,Audit fees,Other Expenses,57044,
WGB,WAM Global Limited,2022,Accounting fees,Other Expenses,60500,
WGB,WAM Global Limited,2022,Company secretary fees,Other Expenses,16500,
WGB,WAM Global Limited,2022,Other expenses from ordinary activities,Other Expenses,270913,
WGB,WAM Global Limited,2023,Management fees,External Management Fees,9698450,
WGB,WAM Global Limited,2023,Directors fees,Other Expenses,80000,
WGB,WAM Global Limited,2023,Brokerage expense on share purchases,Transaction Costs (Brokerage),345315,
WGB,WAM Global Limited,2023,Custody fees,Other Expenses,57360,
WGB,WAM Global Limited,2023,ASX listing and chess fees,Other Expenses,170316,
WGB,WAM Global Limited,2023,Share registry fees,Other Expenses,171529,
WGB,WAM Global Limited,2023,"Disbursements, mailing and printing",Other Expenses,96610,
WGB,WAM Global Limited,2023,ASIC industry funding levy,Other Expenses,21345,
WGB,WAM Global Limited,2023,Audit fees,Other Expenses,66497,
WGB,WAM Global Limited,2023,Accounting fees,Other Expenses,60500,
